endweek,utxo_average,price_usdavg
03/18/18,52547089,9150.75
03/26/18,51456131,8485.76
04/02/18,51224774,8258.40
04/09/18,51289085,7081.33
04/16/18,51391618,7015.15
04/23/18,51368419,7988.84
04/30/18,51327444,8853.00
05/07/18,51415321,9281.05
05/14/18,51493961,9401.80
05/21/18,51504048,8612.49
05/28/18,51565199,8133.68
06/04/18,51740625,7440.24
06/11/18,51775368,7572.00
06/18/18,51564777,7046.21
06/25/18,51303632,6549.53
07/02/18,51027544,6261.84
07/09/18,50678839,6387.42
07/16/18,50403766,6557.91
07/23/18,49788658,6684.26
07/30/18,49096094,7669.88
08/06/18,48914834,7983.01
08/13/18,48927770,7008.25
08/20/18,48999674,6318.88
08/27/18,49171816,6416.53
09/03/18,49355543,6782.43
09/10/18,49444443,7042.38
09/17/18,49492586,6415.54
09/24/18,49568865,6435.38
10/01/18,49737738,6582.31
10/08/18,49975494,6574.04
10/15/18,50200841,6545.10
10/22/18,50311936,6432.17
10/29/18,50262281,6502.96
11/05/18,50150172,6408.19
11/12/18,50057768,6415.48
11/19/18,50052947,6259.63
11/26/18,50147022,5209.01
12/03/18,50247237,4120.88
12/10/18,50296672,3967.45
12/17/18,50271451,3498.34
12/24/18,50109709,3497.92
12/31/18,49873831,3915.72
01/07/19,49732788,3827.74
01/15/19,49661293,3909.55
01/21/19,49720886,3674.57
01/28/19,49945424,3602.23
02/04/19,50221559,3519.55
02/11/19,50460150,3467.99
02/18/19,50628532,3598.22
02/25/19,50701137,3766.94
03/04/19,50819435,3903.25
03/11/19,51050550,3834.54
03/18/19,51325609,3898.74
03/25/19,51629918,3978.24
04/01/19,51928776,4004.63
04/08/19,52256867,4351.09
04/15/19,52638038,5087.36
04/22/19,53010417,5148.67
04/29/19,53312478,5315.37
05/06/19,53667543,5331.19
05/13/19,54069046,5740.70
05/20/19,54588131,7123.49
05/27/19,55154526,7831.79
06/03/19,55557638,8353.44
06/10/19,55931289,8290.41
06/17/19,56371192,7969.06
06/24/19,56809710,8958.33
07/01/19,57254756,10835.00
07/08/19,57705939,11394.28
07/15/19,58068869,11623.68
07/22/19,58418796,10868.16
07/29/19,58858612,10238.26
08/05/19,59248667,9796.21
08/12/19,59515664,11058.03
08/19/19,59752496,11245.87
08/26/19,60070124,10424.18
09/02/19,60529890,10126.84
09/09/19,60970188,10046.90
09/16/19,61309328,10375.95
09/23/19,61561262,10268.66
09/30/19,61780039,9521.91
10/07/19,62090622,8269.04
10/14/19,62496681,8224.04
10/21/19,62908237,8263.82
10/28/19,63301204,8048.51
11/04/19,63575551,8909.28
11/11/19,63684598,9246.39
11/18/19,63705130,8887.57
11/25/19,63612488,8297.65
12/02/19,63516648,7386.12
12/09/19,63655557,7420.52
12/16/19,63972487,7358.44
12/23/19,64109329,7082.40
12/30/19,64129894,7230.61
12/31/19,64210031,7270.04
01/07/20,64415591,7229.42
01/14/20,64749710,7674.90
01/21/20,65021962,8399.37
01/28/20,65220376,8675.63
02/04/20,65316114,8921.42
02/11/20,65333937,9449.51
02/18/20,65340548,10033.22
02/25/20,65418377,9922.72
03/03/20,65652170,9380.88
03/04/20,65817352,8798.59
